iter	Passed	Remaining
0	146	146057
1	146	73248
2	147	48972
3	147	36822
4	148	29566
5	149	24713
6	149	21234
7	150	18628
8	150	16598
9	151	14980
10	151	13650
11	152	12541
12	152	11607
13	153	10805
14	154	10118
15	154	9511
16	155	8974
17	155	8501
18	156	8071
19	156	7686
20	157	7336
21	157	7018
22	158	6728
23	158	6461
24	159	6218
25	159	5991
26	160	5778
27	160	5581
28	161	5399
29	161	5227
30	162	5067
31	162	4918
32	163	4777
33	163	4644
34	163	4519
35	164	4400
36	164	4289
37	165	4184
38	165	4084
39	166	3990
40	166	3899
41	167	3812
42	167	3729
43	168	3650
44	168	3574
45	168	3502
46	169	3432
47	169	3366
48	170	3303
49	170	3243
50	171	3184
51	171	3128
52	172	3074
53	172	3022
54	172	2971
55	173	2922
56	173	2875
57	174	2829
58	174	2785
59	175	2743
60	175	2702
61	176	2663
62	176	2625
63	176	2588
64	177	2552
65	177	2516
66	178	2482
67	178	2446
68	178	2414
69	179	2383
70	179	2352
71	180	2323
72	180	2294
73	181	2266
74	181	2239
75	182	2213
76	182	2187
77	182	2161
78	183	2137
79	183	2113
80	184	2089
81	184	2066
82	185	2044
83	185	2022
84	185	1999
85	186	1979
86	186	1957
87	187	1938
88	187	1918
89	187	1900
90	188	1881
91	188	1863
92	189	1846
93	189	1828
94	190	1811
95	190	1795
96	191	1778
97	191	1763
98	192	1747
99	192	1732
100	192	1717
101	193	1700
102	193	1685
103	194	1671
104	194	1657
105	194	1643
106	195	1630
107	195	1616
108	196	1603
109	196	1590
110	197	1578
111	197	1566
112	197	1554
113	198	1542
114	198	1530
115	199	1518
116	199	1507
117	200	1495
118	200	1484
119	200	1473
120	201	1463
121	201	1453
122	202	1441
123	202	1431
124	203	1421
125	203	1411
126	204	1402
127	204	1391
128	204	1382
129	205	1372
130	205	1363
131	206	1354
132	206	1345
133	206	1337
134	207	1328
135	207	1319
136	208	1311
137	208	1303
138	209	1295
139	209	1286
140	209	1279
141	210	1271
142	210	1263
143	211	1255
144	211	1248
145	212	1240
146	212	1233
147	213	1226
148	213	1219
149	213	1212
150	214	1205
151	214	1198
152	215	1191
153	215	1184
154	216	1178
155	216	1171
156	217	1165
157	217	1158
158	217	1152
159	218	1146
160	218	1140
161	219	1134
162	219	1128
163	220	1122
164	220	1116
165	221	1110
166	221	1104
167	221	1099
168	222	1093
169	223	1089
170	223	1084
171	224	1079
172	224	1073
173	225	1068
174	225	1063
175	225	1058
176	226	1052
177	226	1047
178	227	1042
179	227	1037
180	227	1031
181	228	1026
182	228	1021
183	229	1016
184	229	1011
185	230	1007
186	230	1002
187	231	998
188	231	993
189	232	989
190	232	985
191	233	980
192	233	976
193	234	972
194	234	968
195	235	964
196	235	960
197	236	956
198	236	952
199	237	948
200	237	944
201	238	940
202	238	936
203	239	932
204	239	928
205	239	924
206	240	921
207	241	917
208	241	914
209	242	910
210	242	907
211	243	904
212	243	900
213	244	897
214	244	893
215	245	890
216	246	887
217	246	884
218	247	881
219	247	878
220	248	874
221	248	871
222	249	867
223	249	864
224	250	861
225	250	858
226	251	854
227	251	851
228	252	848
229	252	845
230	253	842
231	253	839
232	254	836
233	254	833
234	255	830
235	255	827
236	256	824
237	256	821
238	257	818
239	257	815
240	258	812
241	258	809
242	259	806
243	259	804
244	260	801
245	260	798
246	260	795
247	261	792
248	261	789
249	262	787
250	263	784
251	263	782
252	263	779
253	264	776
254	264	774
255	265	771
256	265	768
257	266	766
258	266	763
259	267	760
260	267	758
261	268	755
262	268	753
263	269	751
264	270	749
265	270	746
266	271	744
267	271	742
268	272	739
269	272	737
270	273	734
271	274	733
272	274	731
273	275	728
274	275	726
275	276	724
276	276	721
277	276	719
278	277	717
279	277	714
280	278	712
281	279	710
282	279	708
283	280	706
284	280	703
285	280	701
286	281	699
287	281	696
288	282	694
289	282	692
290	283	690
291	283	688
292	284	686
293	284	684
294	285	682
295	285	680
296	286	678
297	286	676
298	287	673
299	287	671
300	288	669
301	288	667
302	289	665
303	289	663
304	290	661
305	290	659
306	291	657
307	291	655
308	292	653
309	292	651
310	293	649
311	293	647
312	294	645
313	294	643
314	295	641
315	295	640
316	296	638
317	296	636
318	297	634
319	297	632
320	297	630
321	298	628
322	298	626
323	299	624
324	299	622
325	300	620
326	300	619
327	301	617
328	301	615
329	302	613
330	302	611
331	303	610
332	303	608
333	304	606
334	304	604
335	305	602
336	305	601
337	306	599
338	306	597
339	307	596
340	307	594
341	308	592
342	308	591
343	309	589
344	309	587
345	310	585
346	310	584
347	310	582
348	311	580
349	311	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	570
355	314	569
356	315	567
357	315	566
358	316	564
359	316	563
360	317	561
361	317	559
362	318	558
363	318	556
364	319	555
365	319	553
366	319	551
367	320	550
368	320	548
369	321	546
370	321	545
371	322	543
372	322	542
373	323	540
374	323	539
375	324	537
376	324	536
377	324	534
378	325	533
379	325	531
380	326	530
381	326	528
382	327	527
383	327	525
384	328	524
385	328	522
386	329	521
387	329	519
388	329	518
389	330	516
390	330	515
391	331	513
392	331	512
393	332	511
394	332	509
395	333	508
396	333	506
397	334	505
398	334	503
399	334	502
400	335	501
401	335	499
402	336	498
403	336	496
404	337	495
405	337	494
406	338	492
407	338	491
408	339	490
409	339	489
410	340	487
411	340	486
412	341	485
413	341	483
414	342	482
415	342	481
416	343	479
417	343	478
418	344	477
419	344	476
420	345	474
421	345	473
422	346	472
423	346	470
424	347	469
425	347	468
426	348	467
427	348	465
428	349	464
429	349	463
430	350	462
431	350	460
432	350	459
433	351	458
434	351	456
435	352	455
436	352	454
437	353	453
438	353	451
439	354	450
440	354	449
441	355	448
442	355	446
443	356	445
444	356	444
445	356	443
446	357	442
447	357	440
448	358	439
449	358	438
450	359	437
451	359	436
452	360	434
453	360	433
454	361	432
455	361	431
456	361	430
457	362	428
458	362	427
459	363	426
460	363	425
461	364	424
462	364	422
463	365	421
464	365	420
465	366	419
466	366	418
467	367	417
468	367	416
469	368	415
470	368	413
471	369	412
472	369	411
473	369	410
474	370	409
475	370	408
476	371	407
477	371	406
478	372	405
479	372	403
480	373	402
481	373	401
482	374	400
483	374	399
484	375	398
485	375	397
486	376	396
487	376	395
488	377	394
489	377	392
490	377	391
491	378	390
492	378	389
493	379	388
494	379	387
495	380	386
496	380	385
497	381	384
498	381	383
499	382	382
500	382	381
501	383	380
502	383	378
503	383	377
504	384	376
505	384	375
506	385	374
507	385	373
508	386	372
509	386	371
510	387	370
511	387	369
512	388	368
513	388	367
514	389	366
515	389	365
516	390	364
517	390	363
518	391	362
519	391	361
520	391	360
521	392	359
522	392	358
523	393	357
524	393	356
525	394	355
526	394	354
527	395	353
528	395	352
529	396	351
530	396	350
531	396	349
532	397	348
533	397	347
534	398	346
535	398	345
536	399	344
537	399	343
538	400	342
539	400	341
540	401	340
541	401	339
542	402	338
543	402	337
544	403	336
545	403	335
546	404	334
547	404	333
548	405	332
549	405	332
550	406	331
551	406	330
552	407	329
553	407	328
554	408	327
555	408	326
556	409	325
557	409	324
558	410	323
559	410	322
560	411	321
561	411	320
562	412	319
563	412	319
564	413	318
565	413	317
566	414	316
567	414	315
568	415	314
569	415	313
570	416	312
571	416	311
572	417	310
573	417	309
574	417	308
575	418	307
576	418	307
577	419	306
578	420	305
579	420	304
580	421	303
581	421	302
582	421	301
583	422	300
584	422	300
585	423	299
586	423	298
587	424	297
588	424	296
589	425	295
590	425	294
591	426	293
592	426	293
593	427	292
594	427	291
595	428	290
596	429	289
597	429	288
598	429	287
599	430	287
600	431	286
601	431	285
602	432	284
603	432	283
604	432	282
605	433	281
606	433	280
607	434	280
608	434	279
609	435	278
610	435	277
611	436	276
612	436	275
613	437	274
614	437	273
615	438	273
616	438	272
617	439	271
618	439	270
619	439	269
620	440	268
621	441	268
622	441	267
623	442	266
624	442	265
625	443	264
626	443	263
627	443	262
628	444	262
629	444	261
630	445	260
631	445	259
632	446	258
633	446	257
634	447	257
635	447	256
636	448	255
637	448	254
638	449	253
639	449	252
640	450	252
641	450	251
642	450	250
643	451	249
644	451	248
645	452	247
646	452	247
647	453	246
648	453	245
649	454	244
650	454	243
651	455	242
652	455	242
653	455	241
654	456	240
655	456	239
656	457	238
657	457	237
658	458	237
659	458	236
660	459	235
661	459	234
662	460	233
663	460	233
664	460	232
665	461	231
666	461	230
667	462	229
668	462	228
669	463	228
670	463	227
671	464	226
672	464	225
673	465	224
674	465	224
675	466	223
676	466	222
677	466	221
678	467	220
679	467	220
680	468	219
681	468	218
682	469	217
683	469	216
684	470	216
685	470	215
686	471	214
687	471	213
688	471	213
689	472	212
690	472	211
691	473	210
692	473	209
693	474	209
694	474	208
695	475	207
696	475	206
697	476	206
698	476	205
699	477	204
700	477	203
701	478	202
702	478	202
703	479	201
704	479	200
705	479	199
706	480	199
707	480	198
708	481	197
709	481	196
710	482	195
711	482	195
712	483	194
713	483	193
714	483	192
715	484	192
716	484	191
717	485	190
718	485	189
719	486	189
720	486	188
721	487	187
